file,obj,x,y
221106VIU_0037.fits,UCAC3296-11655,2766.748,1409.038
221106VIU_0037.fits,CGCS68,2957.531,1872.273
221106VIU_0038.fits,V1301Cas,1910.626,2140.299
221106VIU_0038.fits,UCAC3296-11711,2615.141,1738.021
221106VIU_0038.fits,UCAC3296-11655,2765.269,1403.741
221106VIU_0038.fits,CGCS68,2956.571,1869.344
221106VIU_0039.fits,V1301Cas,1912.512,2137.575
221106VIU_0039.fits,UCAC3296-11711,2614.593,1734.866
221106VIU_0039.fits,UCAC3296-11655,2764.087,1403.571
221106VIU_0039.fits,CGCS68,2955.702,1867.172
221106VIU_0040.fits,V1301Cas,1912.037,2129.21
221106VIU_0040.fits,UCAC3296-11711,2614.895,1727.324
221106VIU_0040.fits,UCAC3296-11655,2767.006,1395.24
221106VIU_0040.fits,CGCS68,2958.468,1856.325
221106VIU_0041.fits,V1301Cas,1912.212,2128.861
221106VIU_0041.fits,UCAC3296-11711,2616.072,1723.181
221106VIU_0041.fits,UCAC3296-11655,2767.487,1394.146
221106VIU_0041.fits,CGCS68,2956.658,1856.023
221106VIU_0042.fits,V1301Cas,1911.513,2125.544
221106VIU_0042.fits,UCAC3296-11711,2615.037,1720.382
221106VIU_0042.fits,UCAC3296-11655,2767.077,1391.294
221106VIU_0042.fits,CGCS68,2956.505,1855.916
221106VIU_0043.fits,V1301Cas,1912.037,2121.703
221106VIU_0043.fits,UCAC3296-11711,2614.466,1718.117
221106VIU_0043.fits,UCAC3296-11655,2768.531,1387.376
221106VIU_0043.fits,CGCS68,2956.505,1849.632
221106VIU_0044.fits,V1301Cas,1912.386,2118.093
221106VIU_0044.fits,UCAC3296-11711,2614.676,1716.232
221106VIU_0044.fits,UCAC3296-11655,2767.586,1385.887
221106VIU_0044.fits,CGCS68,2955.851,1845.663
221106VIU_0045.fits,V1301Cas,1912.135,2117.339
221106VIU_0045.fits,UCAC3296-11711,2614.809,1713.055
221106VIU_0045.fits,UCAC3296-11655,2769.291,1384.366
221106VIU_0045.fits,CGCS68,2958.566,1846.266
221106VIU_0046.fits,V1301Cas,913.392,2115.076
221106VIU_0046.fits,UCAC3296-11711,2615.815,1711.044
221106VIU_0046.fits,UCAC3296-11655,2770.869,1380.902
221106VIU_0046.fits,CGCS68,2960.023,1843.173
221106VIU_0047.fits,V1301Cas,1916.66,2115.076
221106VIU_0047.fits,UCAC3296-11711,2618.271,1709.619
221106VIU_0047.fits,UCAC3296-11655,2771.4,1383.676
221106VIU_0047.fits,CGCS68,2963.945,1842.268
221106VIU_0048.fits,V1301Cas,1916.157,2113.358
221106VIU_0048.fits,UCAC3296-11711,2618.271,1709.016
221106VIU_0048.fits,UCAC3296-11655,2772.11,1379.187
221106VIU_0048.fits,CGCS68,2964.061,1841.15
221106VIU_0049.fits,V1301Cas,1915.948,2110.635
221106VIU_0049.fits,UCAC3296-11711,2619.3,1707.26
221106VIU_0049.fits,UCAC3296-11655,2771.145,1376.624
221106VIU_0049.fits,CGCS68,2963.698,1840.426
221106VIU_0050.fits,V1301Cas,1919.718,2108.331
221106VIU_0050.fits,UCAC3296-11711,2622.233,1704.746
221106VIU_0050.fits,UCAC3296-11655,2775.018,1375.328
221106VIU_0050.fits,CGCS68,2965.025,1837.507
221106VIU_0051.fits,V1301Cas,1924.544,2109.857
221106VIU_0051.fits,UCAC3296-11711,2627.16,1708.574
221106VIU_0051.fits,UCAC3296-11655,2776.715,1376.164
221106VIU_0051.fits,CGCS68,2970.093,1842.213
221106VIU_0052.fits,V1301Cas,1929.362,2110.276
221106VIU_0052.fits,UCAC3296-11711,2632.228,1709.298
221106VIU_0052.fits,UCAC3296-11655,2781.721,1376.993
221106VIU_0052.fits,CGCS68,2945.925,1834.844
221106VIU_0053.fits,V1301Cas,1928.315,2110.486
221106VIU_0053.fits,UCAC3296-11711,2631.265,1708.89
221106VIU_0053.fits,UCAC3296-11655,2782.618,1378.821
221106VIU_0053.fits,CGCS68,2972.713,1841.36
221106VIU_0054.fits,V1301Cas,1930.619,2112.162
